T/r,Tadbirlar nomi,Izoh,Havolalar
1,“Dolzarb 90 kun” doirasidagi tadbirlar,Iyun-avgust oylari davomida bir qator tadbirlar o‘tkazildi va ijtimoiy tarmoqlarda yoritildi.,“Dolzarb 90 kun” universitet telegram sahifasi – https://t.me/Dolzarb90KunNewUU
2,Tanishtiruv haftaligi (Introduction week),Tanishtiruv haftaligi 18-22-avgust kunlari o‘tkazildi va ijtimoiy tarmoqlarda yoritildi.,Tanishtiruv haftaligi davomida o‘tkazilgan tadbirlar:
,- talabalikka qabul qilingan 1-bosqich talabalar uchun Talabalar Kengashi bilan hamkorlikda tanishtiruv haftaligini o‘tkazish;,,https://t.me/Students_Channel2021/2492
,- 2023/2024 o‘quv yilida faol bo‘lgan talabalarni taqdirlash;,,https://t.me/Students_Channel2021/2500
,- Talabalar kengashiga saylangan prezidentning inauguratsiya marosimini o‘tkazish.,,https://t.me/Students_Channel2021/2505
,- Mustaqilligimizning 33 yilligi munosabati bilan Oʻzbekiston Mustaqilligi kunini ham nishonlash.,,https://t.me/Students_Channel2021/2513
,,,https://t.me/Students_Channel2021/2523
,,,https://t.me/Students_Channel2021/2531
3,Osmon ostida studentlar uchun film jarayonini o’tkazish,“Dolzarb 90 kun” doirasida 19-iyul kuni universitet stadionida o‘tkazildi.,Talabalar telegram sahifasida yoritilgan
,,,https://t.me/Students_Channel2021/2375
4,Tanishtiruv haftaligi davomida faol qatnashgan talabalarga bir kunlik Renessans oromgohiga sayohat,25-26-avgust kunlari davomida o‘tkazildi.,https://t.me/Students_Channel2021/2538
5,Basketbol federatsiyasi bilan hamkorlik o‘rnatish,28-avgust kuni hamkorlik memorandumi ikki taraflama imzolandi.,https://t.me/Students_Channel2021/2559
6,Talabalar o‘rtasida “Zakovat” intellektual o‘yini o‘tkazish,2-sentabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2563
,,,https://t.me/newuu_sc/1834
7,Talabalar o‘rtasida “Arm Wrestling” musobaqasi o‘tkazish.,4-sentabr kuni o‘tkazildi.,Natijalar e’loni:
,,,https://t.me/newuu_sc/1841 
8,"Xalqaro shaxmat federatsiyasi prezidenti, Arkadiy Dvorkovichning universitetga tashrifi va “Yangi O‘zbekiston Kubogi” shaxmat musobaqasi g‘oliblarini taqdirlash",5-sentabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2589
9,Talabalar o‘rtasida shaxmat musobasi o‘tkazish,6-sentabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2595 
10,Universitet “Travel club” tashabbusi bilan So‘qoq qorovulxonasiga sayohat,6-sentabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2608
,,,https://t.me/Students_Channel2021/2608  
11,Universitetning “See you at the museum” klubi tomonidan Temuriylar davlat muzeyiga talabalar bilan tashrif,7-sentabr kuni o‘tkazildi.,https://t.me/newuu_sc/1866
12,Universitet “Shaxmat klubi” tomonidan “Blitz 3+2” musobaqa,6-sentabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2595 
13,Volta 3x3 musobaqasi,13-sentabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2623 
14,Clubs Fair 2025,12-sentabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2634 
,,,https://t.me/Students_Channel2021/2633
,,,https://t.me/Students_Channel2021/2639  
15,ICPC Training Contest,18-sentabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2659 
16,Universitetning “Kibersport” klubi tashabbusi bilan “Wingmania Season I” kibersport musobaqasi,3-oktabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2718 
17,Space Fest 2025,4-oktabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2676
,,,https://t.me/Students_Channel2021/2717 
,,,https://t.me/Students_Channel2021/2733
,,,https://t.me/Students_Channel2021/2755   
18,Universitetning “Travel club” tashabbusi bilan Lashkarakka sayohat,5-oktabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2706
,,,https://t.me/Students_Channel2021/2746  
19, Ixtisoslashtirilgan ta’lim muassasalari agentligi direktori Sevara Shakirova Yangi O‘zbekiston universiteti yotoqxonasiga tashrif buyurdi.,10-oktabr kuni.,https://t.me/Students_Channel2021/2789 
20,O‘zbek tiliga davlat tili “Fast typing”,21-oktabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2825 
21,"“Her Network Community”, “Fashion and Art” klublari tomonidan qizlar uchun pichnic ",21-oktyabr kuni o‘tkazildi.,https://t.me/newuu_sc/2184
22,“Zakovat klubi” tomonidan Futball Quiz ,24-oktyabr kuni o‘tkazildi.,https://t.me/newuu_sc/2204
23,Shanaraq va Readers klublar tomonidan “Book talk” boldi,25-oktyabr kuni o‘tkazildi.,https://t.me/newuu_sc/2208
24,Hogwards Intern Klubi tarafdan klub sessiyasi,25-oktyabr kuni o‘tkazildi.,https://t.me/newuu_sc/2213
25,“Work and Travel” boyicha “guest lecture” ,29-oktyabr kuni o‘tkazildi.,https://t.me/newuu_sc/2236
26,“Huawei ICT Academy” boyicha ma`ruza,30-oktyabro‘tkazildi.,https://t.me/Students_Channel2021/2879
,,,https://t.me/Students_Channel2021/2883
27,Sport haftaligi,27-30- oktyabr kunlari ,https://t.me/Students_Channel2021/2868
,,,https://t.me/Students_Channel2021/2878
28,“Chill party” ko`ngil ochar tadbir,31-oktyabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2898
,,,https://t.me/newuu_sc/2246
29,Yangi O`zbekiston va Nazarbayev universtitetlar o`rtasida onlayn uchrashuv,31-oktyabr kuni ,https://t.me/newuu_sc/2253
30,Futbol musobaqasi ,1-2-noyabr kunlari o‘tkazildi.,https://t.me/newuu_sc/2313
,,,https://t.me/Students_Channel2021/2955
31,“See you at the museum” klubi tomonidan “Academy Gallery”ga tashrif,6-noyabr kuni o‘tkazildi.,https://t.me/newuu_sc/2269
32,Maxsus mehmon Boburjon Adxamov ishtirokida tarmoq yaratish (networking) va tavsiyalar bo‘yicha uchrashuv.,8-noyabr kuni o‘tkazildi.,https://t.me/newuu_sc/2273
33,Universitetlararo Memorandum bo‘yicha o‘tkazilgan uchrashuv,8-noyabr kuni o‘tkazildi.,https://t.me/newuu_sc/2290
34,“Travel club” tomonidan Samarqand shahri bo‘ylab sayohat va Marafon ,8-9-noyabr kunlari o‘tkazildi.,https://t.me/Students_Channel2021/2929
,,,https://t.me/Students_Channel2021/2942
,,,https://t.me/newuu_sc/2340
,,,https://t.me/newuu_sc/2352
35,“SPORTS WEEK”  2025 taqdirlash marosimi,12-noyabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2939
,,,https://t.me/newuu_sc/2313
,,,https://t.me/Students_Channel2021/2955
36,“Film odyssey” klub tomonidan ‘Dead Poets Society’ filmi namoyishi ,14-noyabr kuni o‘tkazildi.,https://t.me/newuu_sc/2336
37,Xalqaro talabalar kuni munosabati bilan “Party”,16-noyabr kuni  o‘tkazildi.,https://t.me/newuu_sc/2339
,,,https://t.me/Students_Channel2021/2968 
38,“Film odyssey” klub tomonidan The Intouchables’ filmi namoyishi ,21-noyabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/2993 
39,UZQuiz intellektual musobaqasi,20-noyabr  kuni o‘tkazildi.,https://t.me/Students_Channel2021/3008 
40,Universitetlararo Stol Tennis Musobaqasi,23-noyabr kuni o‘tkazildi.,https://t.me/newuu_sc/2359 
41,Yangi O‘zbekiston Universiteti “Eco Club”ning rasmiy ochilishi va daraxt ekish tadbiri,27-noyabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/3036 
42,O‘zbekiston Respublikasi Konstitutsiyasi Qoidalari va Prinsiplari bo‘yicha Olimpiada,27-noyabr kuni o‘tkazildi.,https://t.me/Students_Channel2021/3042 
